title,link,original,sale,discount,currency,date,time
Medieval: Total War™ - Collection,https://store.steampowered.com/app/345260/Medieval_Total_War__Collection/?snr=1_7_7_2300_150_6,11.99,2.99,75,CDN,2020-04-27,23:33
Influent,https://store.steampowered.com/app/274980/Influent/?snr=1_7_7_2300_150_6,10.99,Free,50,CDN,2020-04-27,23:33
Raiden IV: OverKill,https://store.steampowered.com/app/323460/Raiden_IV_OverKill/?snr=1_7_7_2300_150_7,16.99,2.54,85,CDN,2020-04-27,23:33
Unforeseen Incidents,https://store.steampowered.com/app/501790/Unforeseen_Incidents/?snr=1_7_7_2300_150_7,22.79,15.26,33,CDN,2020-04-27,23:33
Frog Detective 2: The Case of the Invisible Wizard,https://store.steampowered.com/app/1047220/Frog_Detective_2_The_Case_of_the_Invisible_Wizard/?snr=1_7_7_2300_150_7,5.69,5.12,10,CDN,2020-04-27,23:33
Lumberjack Simulator,https://store.steampowered.com/app/763100/Lumberjack_Simulator/?snr=1_7_7_2300_150_7,21.79,17.43,20,CDN,2020-04-27,23:33
Iris and the Giant,https://store.steampowered.com/app/1127610/Iris_and_the_Giant/?snr=1_7_7_2300_150_7,20.49,16.39,20,CDN,2020-04-27,23:33
TrackMania² Canyon,https://store.steampowered.com/app/228760/TrackMania_Canyon/?snr=1_7_7_2300_150_7,19.99,9.99,50,CDN,2020-04-27,23:33
FlatOut 4: Total Insanity,https://store.steampowered.com/app/402130/FlatOut_4_Total_Insanity/?snr=1_7_7_2300_150_7,32.99,6.59,80,CDN,2020-04-27,23:33
Sky Rogue,https://store.steampowered.com/app/381020/Sky_Rogue/?snr=1_7_7_2300_150_7,21.99,10.99,50,CDN,2020-04-27,23:33
The Inner World - The Last Wind Monk,https://store.steampowered.com/app/613470/The_Inner_World__The_Last_Wind_Monk/?snr=1_7_7_2300_150_7,28.99,5.79,80,CDN,2020-04-27,23:33
Flying Aces - Navy Pilot Simulator,https://store.steampowered.com/app/837430/Flying_Aces__Navy_Pilot_Simulator/?snr=1_7_7_2300_150_7,22.79,4.55,80,CDN,2020-04-27,23:33
Through the Darkest of Times,https://store.steampowered.com/app/1003090/Through_the_Darkest_of_Times/?snr=1_7_7_2300_150_7,19.99,15.99,20,CDN,2020-04-27,23:33
War Tech Fighters,https://store.steampowered.com/app/630030/War_Tech_Fighters/?snr=1_7_7_2300_150_7,22.79,7.74,66,CDN,2020-04-27,23:33
Eador. Imperium,https://store.steampowered.com/app/477730/Eador_Imperium/?snr=1_7_7_2300_150_7,21.99,3.29,85,CDN,2020-04-27,23:33
Home Sweet Home EP2,https://store.steampowered.com/app/1098940/Home_Sweet_Home_EP2/?snr=1_7_7_2300_150_7,22.79,5.69,75,CDN,2020-04-27,23:33
X-COM: Complete Pack,https://store.steampowered.com/sub/964/?snr=1_7_7_2300_150_7,16.99,4.24,75,CDN,2020-04-27,23:33
FlatOut 2™,https://store.steampowered.com/app/2990/FlatOut_2/?snr=1_7_7_2300_150_7,10.99,2.19,80,CDN,2020-04-27,23:33
Interrogation: You will be deceived,https://store.steampowered.com/app/1016770/Interrogation_You_will_be_deceived/?snr=1_7_7_2300_150_7,14.49,9.41,35,CDN,2020-04-27,23:33
