title,link,original,sale,discount,currency,date,time
orwell: keeping an eye on you,https://store.steampowered.com/app/491950/Orwell_Keeping_an_Eye_On_You/?snr=1_7_7_2300_150_4,11.49,2.87,75,CDN,2020-04-25,14:28
verdun,https://store.steampowered.com/app/242860/Verdun/?snr=1_7_7_2300_150_4,24.99,11.24,55,CDN,2020-04-25,14:28
trine 3: the artifacts of power,https://store.steampowered.com/app/319910/Trine_3_The_Artifacts_of_Power/?snr=1_7_7_2300_150_4,23.99,5.99,75,CDN,2020-04-25,14:28
blackguards,https://store.steampowered.com/app/249650/Blackguards/?snr=1_7_7_2300_150_4,13.99,1.39,90,CDN,2020-04-25,14:28
superdimension neptune vs sega hard girls,https://store.steampowered.com/app/571530/Superdimension_Neptune_VS_Sega_Hard_Girls/?snr=1_7_7_2300_150_5,22.79,9.11,60,CDN,2020-04-25,14:28
titan quest anniversary edition,https://store.steampowered.com/app/475150/Titan_Quest_Anniversary_Edition/?snr=1_7_7_2300_150_5,99.69,19.93,80,CDN,2020-04-25,14:28
beholder,https://store.steampowered.com/app/475550/Beholder/?snr=1_7_7_2300_150_5,10.99,1.64,85,CDN,2020-04-25,14:28
aer memories of old,https://store.steampowered.com/app/331870/AER_Memories_of_Old/?snr=1_7_7_2300_150_5,17.99,3.59,80,CDN,2020-04-25,14:28
orwell: ignorance is strength,https://store.steampowered.com/app/633060/Orwell_Ignorance_is_Strength/?snr=1_7_7_2300_150_5,11.49,6.89,40,CDN,2020-04-25,14:28
mod and play,https://store.steampowered.com/app/1127460/Mod_and_Play/?snr=1_7_7_2300_150_5,5.69,3.41,40,CDN,2020-04-25,14:28
kind words (lo fi chill beats to write to),https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/?snr=1_7_7_2300_150_5,5.69,4.55,20,CDN,2020-04-25,14:28
deponia: the complete journey,https://store.steampowered.com/app/292910/Deponia_The_Complete_Journey/?snr=1_7_7_2300_150_5,44.99,4.49,90,CDN,2020-04-25,14:28
trine enchanted edition,https://store.steampowered.com/app/35700/Trine_Enchanted_Edition/?snr=1_7_7_2300_150_5,16.99,4.24,75,CDN,2020-04-25,14:28
my island,https://store.steampowered.com/app/1004270/My_Island/?snr=1_7_7_2300_150_5,17.49,7.87,55,CDN,2020-04-25,14:28
moon hunters,https://store.steampowered.com/app/320040/Moon_Hunters/?snr=1_7_7_2300_150_5,14.99,2.24,85,CDN,2020-04-25,14:28
my lovely daughter,https://store.steampowered.com/app/580170/My_Lovely_Daughter/?snr=1_7_7_2300_150_5,17.49,6.99,60,CDN,2020-04-25,14:28
the daedalic armageddon bundle,https://store.steampowered.com/sub/55062/?snr=1_7_7_2300_150_5,143.99,14.39,90,CDN,2020-04-25,14:28
the bureau: xcom declassified,https://store.steampowered.com/app/65930/The_Bureau_XCOM_Declassified/?snr=1_7_7_2300_150_5,21.99,4.39,80,CDN,2020-04-25,14:28
the longing,https://store.steampowered.com/app/893850/THE_LONGING/?snr=1_7_7_2300_150_5,17.49,15.74,10,CDN,2020-04-25,14:28
the stillness of the wind,https://store.steampowered.com/app/828900/The_Stillness_of_the_Wind/?snr=1_7_7_2300_150_5,14.49,5.07,65,CDN,2020-04-25,14:28
tacoma,https://store.steampowered.com/app/343860/Tacoma/?snr=1_7_7_2300_150_5,21.99,10.99,50,CDN,2020-04-25,14:28
little big workshop,https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_2300_150_5,22.79,17.09,25,CDN,2020-04-25,14:28
broken lines,https://store.steampowered.com/app/926580/Broken_Lines/?snr=1_7_7_2300_150_5,29.00,23.20,20,CDN,2020-04-25,14:28
hyperdimension neptunia u: action unleashed,https://store.steampowered.com/app/387340/Hyperdimension_Neptunia_U_Action_Unleashed/?snr=1_7_7_2300_150_5,17.49,6.12,65,CDN,2020-04-25,14:28
elsinore,https://store.steampowered.com/app/512890/Elsinore/?snr=1_7_7_2300_150_5,22.79,13.67,40,CDN,2020-04-25,14:28
still there,https://store.steampowered.com/app/1063490/Still_There/?snr=1_7_7_2300_150_5,17.49,11.36,35,CDN,2020-04-25,14:28
the long journey home,https://store.steampowered.com/app/366910/The_Long_Journey_Home/?snr=1_7_7_2300_150_5,43.99,4.39,90,CDN,2020-04-25,14:28
luna,https://store.steampowered.com/app/605770/Luna/?snr=1_7_7_2300_150_5,17.49,1.75,90,CDN,2020-04-25,14:28
x-com: terror from the deep,https://store.steampowered.com/app/7650/XCOM_Terror_From_the_Deep/?snr=1_7_7_2300_150_5,5.49,1.37,75,CDN,2020-04-25,14:28
unforeseen incidents,https://store.steampowered.com/app/501790/Unforeseen_Incidents/?snr=1_7_7_2300_150_6,22.79,15.26,33,CDN,2020-04-25,14:28
deponia doomsday,https://store.steampowered.com/app/421050/Deponia_Doomsday/?snr=1_7_7_2300_150_6,21.99,2.19,90,CDN,2020-04-25,14:28
x-com: complete pack,https://store.steampowered.com/sub/964/?snr=1_7_7_2300_150_6,16.99,4.24,75,CDN,2020-04-25,14:28
astrox imperium,https://store.steampowered.com/app/954870/Astrox_Imperium/?snr=1_7_7_2300_150_6,17.49,10.49,40,CDN,2020-04-25,14:28
her story,https://store.steampowered.com/app/368370/Her_Story/?snr=1_7_7_2300_150_6,11.49,5.74,50,CDN,2020-04-25,14:28
garfield kart - furious racing,https://store.steampowered.com/app/1085510/Garfield_Kart__Furious_Racing/?snr=1_7_7_2300_150_6,17.49,8.04,54,CDN,2020-04-25,14:28
the suicide of rachel foster,https://store.steampowered.com/app/1057750/The_Suicide_of_Rachel_Foster/?snr=1_7_7_2300_150_6,19.99,13.39,33,CDN,2020-04-25,14:28
shelter 2,https://store.steampowered.com/app/275100/Shelter_2/?snr=1_7_7_2300_150_6,16.99,4.24,75,CDN,2020-04-25,14:28
gris,https://store.steampowered.com/app/683320/GRIS/?snr=1_7_7_2300_150_6,19.49,9.74,50,CDN,2020-04-25,14:28
urtuk: the desolation,https://store.steampowered.com/app/1181830/Urtuk_The_Desolation/?snr=1_7_7_2300_150_6,22.79,18.23,20,CDN,2020-04-25,14:28
meadow,https://store.steampowered.com/app/486310/Meadow/?snr=1_7_7_2300_150_6,5.69,1.42,75,CDN,2020-04-25,14:28
whispers of a machine,https://store.steampowered.com/app/631570/Whispers_of_a_Machine/?snr=1_7_7_2300_150_6,17.49,10.49,40,CDN,2020-04-25,14:28
year walk,https://store.steampowered.com/app/269050/Year_Walk/?snr=1_7_7_2300_150_6,6.49,3.24,50,CDN,2020-04-25,14:28
megatagmension blanc + neptune vs zombies (neptunia),https://store.steampowered.com/app/496810/MegaTagmension_Blanc__Neptune_VS_Zombies_Neptunia/?snr=1_7_7_2300_150_6,17.49,6.12,65,CDN,2020-04-25,14:28
beautiful desolation,https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/?snr=1_7_7_2300_150_6,22.79,20.28,11,CDN,2020-04-25,14:28
luna the shadow dust,https://store.steampowered.com/app/465100/LUNA_The_Shadow_Dust/?snr=1_7_7_2300_150_6,22.79,20.51,10,CDN,2020-04-25,14:28
gone home,https://store.steampowered.com/app/232430/Gone_Home/?snr=1_7_7_2300_150_6,16.99,8.49,50,CDN,2020-04-25,14:28
wild guns reloaded,https://store.steampowered.com/app/585910/Wild_Guns_Reloaded/?snr=1_7_7_2300_150_6,17.49,8.74,50,CDN,2020-04-25,14:28
daedalic - gigantic bundle,https://store.steampowered.com/sub/76471/?snr=1_7_7_2300_150_6,143.99,14.39,90,CDN,2020-04-25,14:28
project warlock,https://store.steampowered.com/app/893680/Project_Warlock/?snr=1_7_7_2300_150_6,15.00,6.00,60,CDN,2020-04-25,14:28
crazy machines 3,https://store.steampowered.com/app/351920/Crazy_Machines_3/?snr=1_7_7_2300_150_6,13.99,1.39,90,CDN,2020-04-25,14:28
paws,https://store.steampowered.com/app/434000/Paws/?snr=1_7_7_2300_150_6,19.99,6.79,66,CDN,2020-04-25,14:28
bud spencer & terence hill - slaps and beans,https://store.steampowered.com/app/564050/Bud_Spencer__Terence_Hill__Slaps_And_Beans/?snr=1_7_7_2300_150_6,22.79,9.11,60,CDN,2020-04-25,14:28
granny simulator,https://store.steampowered.com/app/1053680/Granny_Simulator/?snr=1_7_7_2300_150_6,5.69,2.84,50,CDN,2020-04-25,14:28
interrogation: you will be deceived,https://store.steampowered.com/app/1016770/Interrogation_You_will_be_deceived/?snr=1_7_7_2300_150_6,14.49,9.41,35,CDN,2020-04-25,14:28
